"","Code","GLOSS_ID","Country","Location","Connection","DCP_ID","Last_observationLevel","Last_Observation_Time_in_GMT","Delay","TransmitInterval","View_","long","lat"
"806","leco","","France","Le Conquet ","ftp","","3.85","07:25","2h","5'","  [open]  ","-4.78","48.36"
"807","leco2","","France","Le Conquet 2 ","SZFR01","FR152","3.97","07:18","2h","6'","  [open]  ","-4.78","48.36"
"808","lecy","","France","Le Crouesty ","ftp","","3.09","07:18","2h","5'","  [open]  ","-2.89515","47.5427"
"809","lede","","USA","Lewes DE ","SXXX03","335F2084","","","","6'","  [open]  ","-75.12","38.7186"
"810","lega","72","Philippines","Legaspi ","SZXX01","301434061601080","7.65","07:20","2h","5'","  [open]  ","123.758117","13.146214"
"811","leha","","France","Le Havre ","ftp","","5.69","07:24","2h","5'","  [open]  ","0.10599","49.4819"
"812","leha2","","France","Le Havre 2 ","SZFR01","FR004","5.39","07:17","2h","6'","  [open]  ","0.10599","49.4819"
"813","leir","","Norway","Leirvik ","web","","0.98","07:20","2h","10'","  [open]  ","5.50367","59.766394"
"814","leit","","UK","Leith ","ftp","","1.62","06:45","2h","15'","  [open]  ","-3.18","55.99"
"815","lemba","","Indonesia","Lembar ","SZXX01","300434067157400","7.26","07:20","2h","6'","  [open]  ","116.07225","-8.730905556"
"816","leme","","Cyprus","Limassol ","ftp","","0.21","07:20","2h","5'","  [open]  ","33.042388","34.668691"
"817","lena","","Vanuatu","Lenakel, Tanna ","SZNV41","91566","5.21","07:18","2h","6'","  [open]  ","169.265953","-19.53256"
"818","lero","","Martinique","Le Robert ","SOMR10","12A052EA","-999","2024-08-31 13:05","3d","5'","  [open]  ","-60.9379306","14.6768944"
"820","lerw2","236","UK","Lerwick2 ","ftp","","0.9","07:00","2h","15'","  [open]  ","-1.145192","60.155316"
"821","leso","","France","Les Sables d'Olonne ","ftp","","2.84","07:24","2h","5'","  [open]  ","-1.79373","46.4975"
"822","leso2","","France","Les Sables d'Olonne 2 ","SZFR01","FR062","2.86","07:20","2h","6'","  [open]  ","-1.79373","46.4975"
"823","leva","","USA","Lewisetta VA ","SXXX03","33660644","","","","6'","  [open]  ","-76.4653","37.995"
"824","levu","","Fiji Islands","Lautoka FJ ","SZPS01","67070","1.95","07:26","2h","3'","  [open]  ","177.4383","-17.6049"
"825","lgos","","Portugal","Lagos ","socket","","-0.88","07:44","1h","0.0833'","  [open]  ","-8.66683777","37.09882555"
"826","LI11","","Italy","Livorno ","web","","0.11","07:23","2h","5'","  [open]  ","10.299338888889","43.546286111111"
"827","lifo","","France","Lifou ","SZNC40","0652047A","1.42","07:23","2h","6'","  [open]  ","167.27869444","-20.91847222"
"828","lifo2","","France","Lifou 2 ","ftp","","1.44","07:24","2h","5'","  [open]  ","167.27869444","-20.91847222"
"829","lime","","USA","Limetree VI ","web","3364B03E","0.28","07:33","2h","6'","  [open]  ","-64.7538","17.6947"
"830","lime2","","USA","Limetree VI ","SXXX03","3364B03E","-3.58","2024-07-05 05:45","60d","6'","  [open]  ","-64.7538","17.6947"
